ID,Choice 
1,2
1,6
1,6
1,2
1,5
1,4
1,4
1,4
1,4
1,6
1,6
1,4
2,4
2,4
2,5
2,5
2,1
2,3
2,5
2,5
2,2
2,3
2,5
2,2
3,6
3,6
3,6
3,2
3,6
3,3
3,6
3,6
3,3
3,3
3,6
3,3
4,5
4,4
4,3
4,2
4,2
4,1
4,1
4,2
4,3
4,6
4,6
4,3
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
6,5
6,3
6,7
6,5
6,3
6,2
6,5
6,3
6,3
6,5
6,7
6,5
7,4
7,6
7,4
7,3
7,3
7,7
7,3
7,3
7,1
7,3
7,4
7,1
8,6
8,3
8,5
8,6
8,1
8,4
8,7
8,5
8,7
8,7
8,7
8,7
9,4
9,4
9,7
9,4
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
10,5
10,2
10,5
10,5
10,5
10,5
10,3
10,5
10,5
10,3
10,3
10,2
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
12,6
12,4
12,4
12,4
12,7
12,7
12,7
12,4
12,4
12,6
12,4
12,4
13,4
13,4
13,6
13,6
13,4
13,4
13,4
13,6
13,4
13,6
13,4
13,6
14,5
14,5
14,1
14,5
14,5
14,5
14,5
14,5
14,5
14,5
14,5
14,5
15,4
15,5
15,3
15,1
15,2
15,6
15,4
15,4
15,4
15,4
15,4
15,4
16,6
16,6
16,6
16,6
16,5
16,2
16,4
16,6
16,6
16,3
16,4
16,2
17,6
17,1
17,2
17,2
17,1
17,3
17,4
17,6
17,2
17,3
17,6
17,5
18,5
18,1
18,7
18,6
18,6
18,4
18,1
18,1
18,1
18,5
18,1
18,1
19,3
19,3
19,3
19,2
19,3
19,3
19,3
19,2
19,3
19,3
19,3
19,3
20,3
20,3
20,5
20,3
20,5
20,3
20,3
20,3
20,7
20,3
20,3
20,5
21,1
21,5
21,3
21,2
21,3
21,6
21,1
21,1
21,1
21,6
21,1
21,6
22,2
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
22,4
23,5
23,4
23,2
23,2
23,2
23,4
23,5
23,4
23,5
23,6
23,4
23,6
24,4
24,3
24,5
24,5
24,3
24,4
24,3
24,3
24,4
24,5
24,3
24,5
25,6
25,7
25,7
25,7
25,7
25,7
25,7
25,6
25,7
25,7
25,7
25,7
26,4
26,5
26,5
26,1
26,5
26,3
26,2
26,2
26,4
26,5
26,6
26,5
27,3
27,4
27,1
27,3
27,4
27,1
27,4
27,1
27,5
27,2
27,6
27,5
28,7
28,7
28,6
28,6
28,3
28,1
28,6
28,3
28,5
28,6
28,1
28,5
29,2
29,1
29,3
29,6
29,6
29,6
29,4
29,6
29,1
29,5
29,6
29,3
30,2
30,2
30,7
30,3
30,6
30,4
30,5
30,6
30,6
30,5
30,6
30,6
31,5
31,3
31,3
31,3
31,5
31,5
31,3
31,5
31,3
31,3
31,3
31,2
32,4
32,7
32,6
32,4
32,6
32,6
32,1
32,2
32,7
32,6
32,1
32,4
33,3
33,3
33,3
33,3
33,5
33,4
33,3
33,3
33,3
33,3
33,3
33,3
34,5
34,6
34,2
34,5
34,6
34,1
34,5
34,4
34,6
34,2
34,5
34,1
35,6
35,6
35,4
35,6
35,4
35,6
35,6
35,4
35,6
35,4
35,2
35,4
36,4
36,4
36,4
36,6
36,6
36,5
36,3
36,2
36,6
36,4
36,4
36,3
37,4
37,6
37,1
37,6
37,7
37,6
37,4
37,4
37,6
37,4
37,1
37,6
38,2
38,5
38,3
38,6
38,4
38,4
38,2
38,5
38,2
38,4
38,1
38,5
39,5
39,1
39,4
39,1
39,1
39,3
39,3
39,3
39,2
39,3
39,2
39,3
40,6
40,4
40,4
40,4
40,6
40,6
40,4
40,6
40,7
40,4
40,6
40,6
41,2
41,2
41,2
41,2
41,2
41,2
41,2
41,2
41,2
41,2
41,2
41,2
42,4
42,4
42,6
42,4
42,6
42,6
42,4
42,4
42,4
42,5
42,1
42,5
43,2
43,7
43,3
43,2
43,7
43,5
43,3
43,7
43,6
43,7
43,3
43,2
44,4
44,1
44,5
44,5
44,2
44,4
44,2
44,6
44,4
44,5
44,2
44,2
45,3
45,3
45,4
45,4
45,1
45,5
45,1
45,2
45,2
45,4
45,6
45,4
46,1
46,3
46,1
46,2
46,2
46,4
46,7
46,3
46,2
46,4
46,2
46,7
47,4
47,4
47,6
47,4
47,5
47,4
47,3
47,4
47,3
47,5
47,3
47,3
48,6
48,1
48,6
48,6
48,6
48,4
48,7
48,4
48,7
48,4
48,7
48,7
49,5
49,5
49,5
49,4
49,5
49,5
49,6
49,6
49,4
49,4
49,3
49,3
50,7
50,7
50,7
50,7
50,5
50,7
50,6
50,6
50,4
50,7
50,4
50,5
51,6
51,5
51,6
51,6
51,5
51,6
51,5
51,5
51,6
51,3
51,3
51,5
52,2
52,3
52,6
52,4
52,3
52,2
52,5
52,7
52,6
52,7
52,2
52,3
53,2
53,3
53,3
53,3
53,2
53,1
53,2
53,3
53,7
53,2
53,7
53,2
54,2
54,2
54,2
54,2
54,2
54,3
54,2
54,3
54,2
54,2
54,3
54,2
55,4
55,4
55,1
55,4
55,6
55,6
55,7
55,5
55,4
55,4
55,4
55,4
56,1
56,1
56,3
56,3
56,1
56,3
56,7
56,7
56,3
56,7
56,7
56,7
57,2
57,5
57,3
57,5
57,3
57,2
57,4
57,2
57,3
57,2
57,2
57,5
58,4
58,4
58,6
58,7
